time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-10-17T20:01:50.000Z,4.63491393,-74.08254946,2550,22,217.3,2.34094,9,gps,1,1.8,2.1,11,,,,29,
2019-10-17T20:01:54.000Z,4.63485987,-74.08258235,2546,11,,0,2,gps,1,0.9,1.4,11,,,,29,
2019-10-17T20:01:58.000Z,4.6349981,-74.0824939,2616,25,,0,5,gps,1.8,1,2,11,,,,29,
2019-10-17T20:02:02.000Z,4.63492698,-74.0824953,2584,19,,0,11,gps,0.9,0.9,1.2,11,,,,29,
2019-10-17T20:02:05.000Z,4.63488469,-74.08251715,2579,10,,0,7,gps,,,,11,,,,29,
2019-10-17T20:02:08.000Z,4.63488469,-74.08251715,2579,10,,0,0,gps,1,1,1.4,11,,,,29,
2019-10-17T20:02:11.000Z,4.63486442,-74.08252836,2560,12,,0,5,gps,,,,11,,,,29,
2019-10-17T20:02:14.000Z,4.63489784,-74.08249892,2562,13,,0,7,gps,1.5,0.9,1.8,11,,,,29,
2019-10-17T20:02:17.000Z,4.63491471,-74.08249246,2560,11,,0,8,gps,,,,11,,,,29,
2019-10-17T20:02:18.890Z,4.63490646,-74.08250449,2559,8,,0,3,gps,1.1,0.9,1.4,11,,,,29,
2019-10-17T20:02:23.000Z,4.63488641,-74.08252115,2563,5,,0,9,gps,0.9,0.9,1.2,11,,,,29,
2019-10-17T20:02:24.815Z,4.63488628,-74.08252146,2563,5,,0,1,gps,0.9,,,11,,,,29,
2019-10-17T20:02:27.379Z,4.63488628,-74.08252146,2563,7,,0,0,gps,0.9,0.9,1.2,11,,,,29,
2019-10-17T20:02:31.000Z,4.63488644,-74.08252143,2564,11,,0,9,gps,0.9,0.9,1.3,11,,,,29,
2019-10-17T20:02:35.000Z,4.63489138,-74.08251836,2564,6,,0,10,gps,,,,11,,,,29,
2019-10-17T20:02:36.902Z,4.63489138,-74.08251836,2564,5,,0,0,gps,0.7,0.9,1.1,11,,,,29,
2019-10-17T20:02:39.171Z,4.63489138,-74.08251836,2564,8,,0,1,gps,0.7,0.9,1.1,11,,,,29,
2019-10-17T20:02:44.000Z,4.63490472,-74.08251065,2569,11,,0,12,gps,,,,11,,,,29,
2019-10-17T20:02:47.000Z,4.63489896,-74.08251197,2566,10,,0,7,gps,0.8,0.8,1.2,11,,,,29,
2019-10-17T20:02:50.000Z,4.63489898,-74.08251196,2566,11,,0,5,gps,0.8,0.8,1.2,11,,,,29,
2019-10-17T20:02:53.000Z,4.63489898,-74.08251196,2566,11,,0,1,gps,,,,11,,,,29,
2019-10-17T20:02:57.000Z,4.63489899,-74.08251196,2566,24,,0,0,gps,9,1,9.1,11,,,,29,
2019-10-17T20:03:00.000Z,4.63490156,-74.0825118,2566,13,,0,8,gps,,,,11,,,,29,
2019-10-17T20:03:03.000Z,4.63490162,-74.08251179,2566,10,,0,4,gps,0.9,0.9,1.3,11,,,,29,
2019-10-17T20:03:04.893Z,4.63490162,-74.08251179,2566,9,,0,0,gps,0.9,0.9,1.3,11,,,,29,
2019-10-17T20:03:09.000Z,4.63489258,-74.08252162,2567,11,,0,8,gps,,,,11,,,,29,
2019-10-17T20:03:12.000Z,4.63489254,-74.08252166,2567,9,,0,3,gps,1,0.8,1.3,11,,,,29,
2019-10-17T20:03:13.868Z,4.63489254,-74.08252166,2567,9,,0,0,gps,1,0.8,1.3,11,,,,29,
2019-10-17T20:03:18.000Z,4.63489171,-74.08252273,2566,19,,0,5,gps,3.3,1,3.4,11,,,,29,
2019-10-17T20:03:23.000Z,4.63489568,-74.08251775,2567,30,,0,5,gps,3.3,1,3.4,11,,,,29,
2019-10-17T20:03:28.000Z,4.63489444,-74.08251935,2567,34,,0,5,gps,3.3,1,3.4,11,,,,29,
2019-10-17T20:03:34.000Z,4.63489472,-74.08251911,2567,39,,0,5,gps,3.3,1,3.4,11,,,,29,
2019-10-17T20:03:43.000Z,4.63489475,-74.0825191,2567,40,,0,6,gps,1.7,1,2,11,,,,29,
2019-10-17T20:03:47.000Z,4.63490304,-74.08251647,2567,23,217.3,1.4703062,5,gps,,,,11,,,,29,
2019-10-17T20:03:51.000Z,4.63495512,-74.08250197,2568,23,217.3,1.1201786,5,gps,1.7,1,2,11,,,,29,
2019-10-17T20:03:55.000Z,4.63494359,-74.08248883,2568,25,217.3,0.29017237,4,gps,,,,11,,,,29,
2019-10-17T20:03:59.000Z,4.63516572,-74.08243761,2569,20,217.3,0.87555695,5,gps,1.8,1,2,11,,,,29,
2019-10-17T20:04:03.000Z,4.6353225,-74.08246524,2586,14,217.3,0.57628113,8,gps,0.8,1,1.2,11,,,,29,
2019-10-17T20:04:07.000Z,4.63529842,-74.08244024,2592,16,137.7,1.5132746,5,gps,0.8,1,1.3,11,,,,29,
2019-10-17T20:04:11.000Z,4.63525676,-74.08240347,2592,25,137.7,1.520296,2,gps,,,,11,,,,29,
2019-10-17T20:04:16.000Z,4.63518877,-74.08244724,2584,26,186.2,2.0259566,8,gps,1,0.9,1.4,11,,,,29,
2019-10-17T20:04:20.000Z,4.63520587,-74.08250115,2587,10,197.7,0.8793179,9,gps,0.8,0.9,1.2,11,,,,29,
2019-10-17T20:04:23.000Z,4.63518889,-74.08249699,2587,11,197.7,0.6865858,5,gps,0.7,1,1.2,11,,,,29,
2019-10-17T20:04:26.000Z,4.63517059,-74.08249397,2587,11,197.7,0.671193,0,gps,0.7,1,1.2,11,,,,29,
2019-10-17T20:04:42.000Z,4.63513283,-74.08257705,2595,13,305.1,0.8908984,7,gps,,,,11,,,,29,
2019-10-17T20:04:46.000Z,4.63518306,-74.08255281,2592,12,305.1,0.920489,6,gps,0.8,1,1.2,11,,,,29,
2019-10-17T20:04:49.000Z,4.63519037,-74.08256775,2568,13,305.1,0.7002857,2,gps,0.8,,,11,,,,29,
2019-10-17T20:04:54.000Z,4.63537605,-74.08251099,2572,10,,0,10,gps,0.8,1,1.2,11,,,,28,
2019-10-17T20:04:57.000Z,4.63538822,-74.08248897,2576,8,,0,7,gps,,,,11,,,,28,
2019-10-17T20:04:58.921Z,4.63538822,-74.08248897,2578,8,,0,0,gps,0.7,0.9,1.2,11,,,,28,
2019-10-17T20:05:03.000Z,4.6354095,-74.08249261,2583,6,,0,9,gps,0.8,1,1.3,11,,,,28,
2019-10-17T20:05:04.849Z,4.6354095,-74.08249261,2583,6,,0,0,gps,,,,11,,,,28,
2019-10-17T20:05:07.147Z,4.6354095,-74.08249261,2583,8,,0,0,gps,0.8,1,1.3,11,,,,28,
2019-10-17T20:05:11.000Z,4.63540423,-74.08249449,2585,10,,0,7,gps,1.6,1,1.9,11,,,,28,
2019-10-17T20:05:14.000Z,4.63540562,-74.08249458,2585,9,,0,4,gps,,,,11,,,,28,
2019-10-17T20:05:15.873Z,4.63540562,-74.08249458,2585,9,,0,0,gps,1.6,1,1.9,11,,,,28,
2019-10-17T20:05:20.000Z,4.63538726,-74.08249607,2582,14,,0,6,gps,1.6,0.9,1.8,11,,,,28,
